ID,PREDICTION,TARGET
34160,0.404872894287,0
129237,0.373377233744,0
20808,0.371745824814,0
2035,0.373377233744,0
120349,0.375883579254,0
58433,0.373377233744,0
112393,0.379640489817,0
86691,0.382180958986,0
82710,0.378905117512,0
106589,0.378127098083,0
88872,0.375837504864,0
151566,0.38081073761,0
132343,0.371745824814,0
41137,0.41211026907,0
55953,0.415738284588,0
70423,0.378827214241,0
122302,0.396826326847,0
64373,0.378905117512,0
93047,0.375388234854,0
53885,0.388438373804,0
78804,0.373377233744,0
82827,0.378827214241,0
36721,0.371745824814,0
34929,0.378046661615,0
122454,0.371745824814,0
47907,0.376835048199,0
9538,0.373258709908,0
31645,0.371745824814,0
43810,0.375388234854,0
124521,0.375173419714,0
35883,0.371745824814,0
84137,0.377202659845,0
33478,0.372992753983,0
62078,0.485879510641,1
40999,0.378204882145,0
10375,0.371745824814,0
116516,0.371745824814,0
24239,0.371745824814,0
83959,0.40643030405,0
103209,0.371745824814,0
140655,0.406768858433,0
136676,0.37575301528,0
137467,0.377202659845,1
75102,0.371745824814,0
94860,0.373632192612,0
139279,0.378827214241,0
137839,0.38237285614,0
11015,0.372796654701,0
116358,0.378204882145,1
32186,0.38465243578,0
73859,0.372348457575,0
136821,0.371745824814,0
40042,0.374196380377,0
66670,0.372326135635,0
66407,0.386446744204,0
132494,0.371745824814,0
50117,0.371745824814,0
116668,0.371745824814,0
53485,0.372326135635,0
143328,0.387843668461,0
148072,0.37867051363,0
60723,0.387313246727,0
12106,0.371745824814,0
103341,0.371745824814,0
125692,0.371745824814,0
49471,0.378127098083,0
139041,0.392329663038,0
143138,0.404372185469,0
110582,0.379296004772,0
50823,0.391339868307,0
39647,0.390252441168,0
79348,0.371745824814,0
65302,0.371745824814,0
51531,0.378827214241,1
130900,0.371745824814,0
17491,0.371745824814,0
93774,0.37709119916,0
53734,0.390818417072,0
71186,0.373474955559,0
29572,0.375964403152,0
65285,0.39923620224,0
49873,0.371745824814,0
106687,0.372507572174,0
118181,0.372348457575,0
72452,0.378905117512,0
55656,0.384038448334,0
29019,0.375837504864,0
118462,0.371745824814,0
